image&nbsp;&nbsp;&nbsp;	name&nbsp;	pass&nbsp;&nbsp;&nbsp;	fail&nbsp;&nbsp;&nbsp;	errors&nbsp;&nbsp;&nbsp;	skipped&nbsp;&nbsp;&nbsp;	avg time&nbsp;	fail msg&nbsp;
<img src="/images/failed.png" height="14" width="14">	org.apache.solr.search.TestFiltering#testLiveDocsSharing	18	6	 0	0	.17	java.lang.AssertionError<br/>&nbsp; &nbsp;at __randomizedtesting.SeedInfo.seed([F85159A70D76EA84:60CE9F615F674F0C]:0)<br/>&nbsp; &nbsp;at org.junit.Assert.fail(Assert.java:92)<br/>&nbsp; &nbsp;at org.junit.Assert.assertTrue(Assert.java:43)<br/>&nbsp; &nbsp;at org.junit.Assert.assertTrue(Assert.java:54)<br/>&nbsp; &nbsp;at org.apache.solr.search.TestFiltering.testLiveDocsSharing(TestFiltering.java:110)<br/>&nbsp; &nbsp;at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)<br/>&nbsp; &nbsp;at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)<br/>&nbsp; &nbsp;at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)<br/>&nbsp; &nbsp;at java.lang.reflect.Method.invoke(Method.java:498)<br/>&nbsp; &nbsp;at com.carrotsearch.randomizedtesting.RandomizedRunner.invoke(RandomizedRunner.java:1742)<br/>&nbsp; &nbsp;at com.carrotsearch.randomizedtesting.RandomizedRunner$8.evaluate(RandomizedRunner.java:935)<br/>&nbsp; &nbsp;at com.carrotsearch.randomizedtesting.RandomizedRunner$9.evaluate(RandomizedRunner.java:971)<br/>&nbsp; &nbsp;at com.carrotsearch.randomizedtesting.RandomizedRunner$10.evaluate(RandomizedRunner.java:985)<br/>&nbsp; &nbsp;at com.carrotsearch.randomizedtesting.rules.SystemPropertiesRestoreRule$1.evaluate(SystemPropertiesRestoreRule.java:57)<br/>&nbsp; &nbsp;at org.apache.lucene.util.TestRuleSetupTeardownChained$1.evaluate(TestRuleSetupTeardownChained.java:49)<br/>&nbsp; &nbsp;at org.apache.lucene.util.AbstractBeforeAfterRule$1.evaluate(AbstractBeforeAfterRule.java:45)<br/>&nbsp; &nbsp;at org.apache.lucene.util.TestRuleThreadAndTestName$1.evaluate(TestRuleThreadAndTestName.java:48)<br/>&nbsp; &nbsp;at org.apache.lucene.util.TestRuleIgnoreAfterMaxFailures$1.evaluate(TestRuleIgnoreAfterMaxFailures.java:64)<br/>&nbsp; &nbsp;at org.apache.lucene.util.TestRuleMarkFailure$1.evaluate(TestRuleMarkFailure.java:47)<br/>&nbsp; &nbsp;at com.carrotsearch.randomizedtesting.rules.StatementAdapter.evaluate(StatementAdapter.java:36)<br/>&nbsp; &nbsp;at com.carrotsearch.randomizedtesting.ThreadLeakControl$StatementRunner.run(ThreadLeakControl.java:368)<br/>&nbsp; &nbsp;at com.carrotsearch.randomizedtesting.ThreadLeakControl.forkTimeoutingTask(ThreadLeakControl.java:817)<br/>&nbsp; &nbsp;at com.carrotsearch.randomizedtesting.ThreadLeakControl$3.evaluate(ThreadLeakControl.java:468)<br/>&nbsp; &nbsp;at com.carrotsearch.randomizedtesting.RandomizedRunner.runSingleTest(RandomizedRunner.java:944)<br/>&nbsp; &nbsp;at com.carrotsearch.randomizedtesting.RandomizedRunner$5.evaluate(RandomizedRunner.java:830)<br/>&nbsp; &nbsp;at com.carrotsearch.randomizedtesting.RandomizedRunner$6.evaluate(RandomizedRunner.java:880)<br/>&nbsp; &nbsp;at com.carrotsearch.randomizedtesting.RandomizedRunner$7.evaluate(RandomizedRunner.java:891)<br/>&nbsp; &nbsp;at com.carrotsearch.randomizedtesting.rules.StatementAdapter.evaluate(StatementAdapter.java:36)<br/>&nbsp; &nbsp;at com.carrotsearch.randomizedtesting.rules.SystemPropertiesRestoreRule$1.evaluate(SystemPropertiesRestoreRule.java:57)<br/>&nbsp; &nbsp;at org.apache.lucene.util.AbstractBeforeAfterRule$1.evaluate(AbstractBeforeAfterRule.java:45)<br/>&nbsp; &nbsp;at com.carrotsearch.randomizedtesting.rules.StatementAdapter.evaluate(StatementAdapter.java:36)<br/>&nbsp; &nbsp;at org.apache.lucene.util.TestRuleStoreClassName$1.evaluate(TestRuleStoreClassName.java:41)<br/>&nbsp; &nbsp;at com.carrotsearch.randomizedtesting.rules.NoShadowingOrOverridesOnMethodsRule$1.evaluate(NoShadowingOrOverridesOnMethodsRule.java:40)<br/>&nbsp; &nbsp;at com.carrotsearch.randomizedtesting.rules.NoShadowingOrOverridesOnMethodsRule$1.evaluate(NoShadowingOrOverridesOnMethodsRule.java:40)<br/>&nbsp; &nbsp;at com.carrotsearch.randomizedtesting.rules.StatementAdapter.evaluate(StatementAdapter.java:36)<br/>&nbsp; &nbsp;at com.carrotsearch.randomizedtesting.rules.StatementAdapter.evaluate(StatementAdapter.java:36)<br/>&nbsp; &nbsp;at com.carrotsearch.randomizedtesting.rules.StatementAdapter.evaluate(StatementAdapter.java:36)<br/>&nbsp; &nbsp;at org.apache.lucene.util.TestRuleAssertionsRequired$1.evaluate(TestRuleAssertionsRequired.java:53)<br/>&nbsp; &nbsp;at org.apache.lucene.util.TestRuleMarkFailure$1.evaluate(TestRuleMarkFailure.java:47)<br/>&nbsp; &nbsp;at org.apache.lucene.util.TestRuleIgnoreAfterMaxFailures$1.evaluate(TestRuleIgnoreAfterMaxFailures.java:64)<br/>&nbsp; &nbsp;at org.apache.lucene.util.TestRuleIgnoreTestSuites$1.evaluate(TestRuleIgnoreTestSuites.java:54)<br/>&nbsp; &nbsp;at com.carrotsearch.randomizedtesting.rules.StatementAdapter.evaluate(StatementAdapter.java:36)<br/>&nbsp; &nbsp;at com.carrotsearch.randomizedtesting.ThreadLeakControl$StatementRunner.run(ThreadLeakControl.java:368)<br/>&nbsp; &nbsp;at java.lang.Thread.run(Thread.java:748)<br/>
<img src="/images/skip.png" height="17" width="17">	org.apache.solr.search.join.GraphQueryTest#testGraphQueryParserValidation	22	0	 0	2	.02	
<img src="/images/skip.png" height="17" width="17">	org.apache.solr.search.function.TestFunctionQuery#testEqualNumericComparisons	12	0	 0	12	.03	
<img src="/images/skip.png" height="17" width="17">	org.apache.solr.search.facet.TestJsonFacets#testErrors	72	0	 0	72	.02	
<img src="/images/skip.png" height="17" width="17">	org.apache.solr.search.ReturnFieldsTest#testToString	22	0	 0	2	.02	
<img src="/images/skip.png" height="17" width="17">	org.apache.solr.search.TestRecoveryHdfs#testRecoveryMultipleLogs	22	0	 0	2	7.29	
<img src="/images/skip.png" height="17" width="17">	org.apache.solr.search.ReturnFieldsTest#testManyParameters	22	0	 0	2	.01	
<img src="/images/skip.png" height="17" width="17">	org.apache.solr.search.similarities.TestPerFieldSimilarityWithDefaultOverride#testDirectFactoryDynamic	12	0	 0	12	.00	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.search.stats.TestExactStatsCache#test	24	0	 0	0	15.71	
<img src="/images/skip.png" height="17" width="17">	org.apache.solr.search.TestLFUCache#testTimeNoDecay	12	0	 0	12	.01	
